"log_radon","floor","log_u","county"
0.78845736036427,"first",-0.6890475953545,1
0.78845736036427,"basement",-0.6890475953545,1
1.06471073699243,"basement",-0.6890475953545,1
0,"basement",-0.6890475953545,1
1.1314021114911,"basement",-0.847312860499705,2
0.916290731874155,"basement",-0.847312860499705,2
0.405465108108164,"basement",-0.847312860499705,2
0,"basement",-0.847312860499705,2
-0.356674943938732,"basement",-0.847312860499705,2
0.182321556793955,"basement",-0.847312860499705,2
0.182321556793955,"basement",-0.847312860499705,2
0.262364264467491,"basement",-0.847312860499705,2
0.336472236621213,"basement",-0.847312860499705,2
-0.916290731874155,"basement",-0.847312860499705,2
0.0953101798043249,"basement",-0.847312860499705,2
1.50407739677627,"basement",-0.847312860499705,2
0.262364264467491,"basement",-0.847312860499705,2
0.741937344729377,"basement",-0.847312860499705,2
1.77495235091167,"basement",-0.847312860499705,2
1.19392246847243,"basement",-0.847312860499705,2
0.587786664902119,"basement",-0.847312860499705,2
1.68639895357023,"basement",-0.847312860499705,2
1.84054963339749,"basement",-0.847312860499705,2
0.641853886172395,"basement",-0.847312860499705,2
1.88706964903238,"basement",-0.847312860499705,2
1.1314021114911,"basement",-0.847312860499705,2
1.91692261218206,"basement",-0.847312860499705,2
1.94591014905531,"basement",-0.847312860499705,2
2.04122032885964,"basement",-0.847312860499705,2
1.64865862558738,"basement",-0.847312860499705,2
1.50407739677627,"basement",-0.847312860499705,2
1.48160454092422,"basement",-0.847312860499705,2
1.02961941718116,"basement",-0.847312860499705,2
2.09186406167839,"basement",-0.847312860499705,2
0.470003629245736,"basement",-0.847312860499705,2
1.43508452528932,"basement",-0.847312860499705,2
1.68639895357023,"basement",-0.847312860499705,2
1.38629436111989,"basement",-0.847312860499705,2
0.832909122935104,"basement",-0.847312860499705,2
1.06471073699243,"basement",-0.847312860499705,2
0.336472236621213,"basement",-0.847312860499705,2
1.19392246847243,"basement",-0.847312860499705,2
1.06471073699243,"basement",-0.847312860499705,2
0.587786664902119,"first",-0.847312860499705,2
-1.6094379124341,"first",-0.847312860499705,2
0.8754687373539,"basement",-0.847312860499705,2
0.0953101798043249,"first",-0.847312860499705,2
0.78845736036427,"basement",-0.847312860499705,2
-0.510825623765991,"basement",-0.847312860499705,2
0.53062825106217,"basement",-0.847312860499705,2
1.06471073699243,"basement",-0.847312860499705,2
0.78845736036427,"basement",-0.847312860499705,2
0.53062825106217,"basement",-0.847312860499705,2
0.336472236621213,"basement",-0.847312860499705,2
0.641853886172395,"basement",-0.847312860499705,2
0.587786664902119,"basement",-0.847312860499705,2
0.182321556793955,"first",-0.11345877376814,3
1.45861502269952,"basement",-0.11345877376814,3
1.50407739677627,"first",-0.11345877376814,3
1.84054963339749,"basement",-0.593352525607471,4
1.52605630349505,"basement",-0.593352525607471,4
1.7404661748405,"basement",-0.593352525607471,4
0.78845736036427,"first",-0.593352525607471,4
-0.916290731874155,"first",-0.593352525607471,4
1.52605630349505,"first",-0.593352525607471,4
1.48160454092422,"first",-0.593352525607471,4
1.88706964903238,"basement",-0.142890481153028,5
0.993251773010283,"basement",-0.142890481153028,5
1.06471073699243,"first",-0.142890481153028,5
1.06471073699243,"basement",-0.142890481153028,5
1.97408102602201,"basement",0.387056708424809,6
1.6094379124341,"basement",0.387056708424809,6
0.955511445027436,"basement",0.387056708424809,6
1.6094379124341,"basement",0.271613664272716,7
2.56494935746154,"basement",0.271613664272716,7
1.97408102602201,"basement",0.271613664272716,7
1.91692261218206,"basement",0.271613664272716,7
2.54944517092557,"basement",0.271613664272716,7
1.75785791755237,"first",0.271613664272716,7
2.2512917986065,"basement",0.271613664272716,7
1.79175946922805,"basement",0.271613664272716,7
1.33500106673234,"basement",0.271613664272716,7
2.66025953726586,"first",0.271613664272716,7
0.587786664902119,"basement",0.271613664272716,7
1.93152141160321,"basement",0.271613664272716,7
1.54756250871601,"basement",0.271613664272716,7
2.2512917986065,"basement",0.271613664272716,7
0.916290731874155,"first",0.277578704889093,8
1.90210752639692,"basement",0.277578704889093,8
1.38629436111989,"first",0.277578704889093,8
2.31253542384721,"basement",0.277578704889093,8
0.78845736036427,"basement",-0.332315487884133,9
0.587786664902119,"basement",-0.332315487884133,9
1.22377543162212,"basement",-0.332315487884133,9
1.7227665977411,"first",-0.332315487884133,9
1.45861502269952,"basement",-0.332315487884133,9
1.3609765531356,"basement",-0.332315487884133,9
0.262364264467491,"basement",-0.332315487884133,9
1.43508452528932,"basement",-0.332315487884133,9
-0.22314355131421,"basement",-0.332315487884133,9
